,gaia_dr3_source_id
7956,2238124259859506688
7957,1827244289342713600
7971,4303993771068034176
7973,1827244873458649600
7985,6671982723672553856
7991,6447863667946689024
8001,4247193550133090688
8004,4247181799102563584
8032,4235999563992751744
8060,1822972961544491776
8098,4221901587239151488
8114,2302404909370209664
8122,6427282876152585728
8133,2075230723149988736
8150,2076032095325231488
8156,1823915243015442816
8163,6366408410585481856
8165,2237853917436921472
8183,2302187029972173568
8186,2086165568147021952
8188,1807729469781687296
8210,2058242581323930496
8213,1833410973339152640
8222,6367779776464273792
8230,4248225892778747264
8233,6670512509122260864
8238,6447988672968553088
8244,1822214302830254208
8253,4298811124237354880
8268,4192615858811606528
8293,6448017672589475584
8309,6697414912954845824
8327,6852218968961230080
8331,6423508321457209344
8333,4192400698130454400
8338,1808084685047324288
8339,1808084680754808704
8344,1835089648402321280
8349,6687813801326344576
8350,4299137881055141632
8358,1835212312673280256
8367,6877226914260117632
8373,6448025712768292992
8374,2082337412258590720
8383,1823509252657869440
8409,2085981954003859456
8442,2275852455177465088
8443,6686512052576363136
8446,4237543651977039488
8448,2055127523129265792
8456,6697768332928303360
8458,1834719112986872576
8475,1833426263409692800
8477,4248619071266347648
8481,1822193996219126784
8507,2087750793340532864
8513,6686517412695518848
8517,2250878530315964800
8541,2081862491954072064
8542,2061825644887045376
8567,6442856908603949824
8577,6443338013660832640
8586,4248724860592949888
8605,6362614270837040512
8611,4216886444123762944
8644,2055059323366130432
8671,4299762403650843392
8678,6427744769820274304
8697,6697056948905594496
8698,6697056953199978112
8710,6472835432439085696
8738,1833602219635353472
8739,6749651228628106112
8741,2304781396377408256
8766,4248010697727897344
8795,2082697605396564480
8801,4299689324779425408
8818,6422612185120180608
8830,1836799255846761088
8839,1809848988904177280
8860,6429241312523188352
8864,2185439854543054208
8869,2088318003901474816
8873,6665910709364014336
8883,6423952936471706624
8899,6852604446570324224
8901,1830124258213491712
8976,2088053262109328128
8996,2237151299446305408
9001,2061687626134849664
9061,4250551011977722368
9068,4299397713684601088
9074,6673793138286801152
9075,6427457217468275584
9079,2054909785468401408
9133,2236923047704131712
9134,4244477103579204736
9147,2062180512260682112
9158,6845807373060742016
9187,1802763525525586560
9189,2243933907500430976
9200,2288618747248836096
9210,1833680731644431616
9236,4251357675550972928
9251,4249667902270614272
9263,6669204640042557696
9269,6881270845011420288
9275,6669150626531861120
9280,1837238991774149632
9293,2053752824369497344
9294,6430181566764156288
9313,2184541214248326272
9315,2249577082211490048
9320,2236673969662498048
9321,6881365853986778624
9338,2276417844672225408
9352,1837442190972801536
9401,6879367800839927936
9405,6699584902230614144
9418,2291986963681615488
9422,6692465457066593280
9424,6699227247423304064
9428,4224295292772090368
9447,6849219325145148672
9483,2187905681170265600
9484,6852268962379634304
9485,2187905681170264064
9509,2081773740751016704
9510,1830622817995986432
9513,6699268895718983040
9537,6880989065090831488
9546,2236845081159994624
9550,6473790839323624192
9552,1830415938024560000
9556,6362268130833039232
9636,2184254581011904384
9673,2085047880219457408
9677,4216266834963196800
9687,6672681501966031232
9690,1829120747684239104
9691,1829120747684237312
9697,6672711906040004736
9708,6443232765487202176
9730,2062283217823775488
9736,6680068188590779904
9749,1830333337199612416
9765,2054726854218076928
9770,2085033693940476544
9779,4250205872691106560
9781,4250205872691106176
9812,1816586383837062784
9835,2184284027304201856
9847,2304003079589668608
9852,4243381341455988096
9879,1861145982333443200
9882,6473608840085640832
9886,6846483160397112960
9904,1753449123333346176
9919,6423205092468209664
9923,6431084300169300224
9931,1829566393484946560
9932,1753506401018588544
9943,4230063811808606208
9990,2054216199786969216
