Gaia G,Gaia BP,Gaia RP,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,PanSTARR g,PanSTARR r,PanSTARR i,PanSTARR z,PanSTARR y,SkyMap u,SkyMap V,SkyMap g,SkyMap r,SkyMap i,SkyMap z,2MASS J,2MASS H,2MASS Ks,APASS V,APASS g,APASS r,APASS i,APASS B,Teff,Logg
4.0310993888315853e-07,4.139175281618306e-07,3.716073240216395e-07,3.451949415008153e-07,4.189759718377666e-07,4.164143947555743e-07,3.869318173771337e-07,3.385077516742069e-07,4.248137206475307e-07,4.1737584740252993e-07,3.8545937222738405e-07,3.4633550398632276e-07,3.160036164429832e-07,3.4095795814218e-07,3.668121991941502e-07,4.2837548194454316e-07,4.20808629182055e-07,3.777107786565257e-07,3.3220635124025886e-07,2.457989262975373e-07,1.7641534968947572e-07,1.1261536573614598e-07,4.4290571869527335e-07,4.189759718377666e-07,4.164143947555743e-07,3.869318173771337e-07,3.989444221568207e-07,9250.0,9.5
4.7515366262381077e-07,5.033568956476394e-07,4.04204943002048e-07,2.699856599913101e-07,5.443063463562678e-07,4.893618082035443e-07,4.190160263776357e-07,3.520591129004851e-07,5.491996034267078e-07,4.899360597342489e-07,4.16499386166522e-07,3.591540751594736e-07,3.3194726688881437e-07,2.5085616227264467e-07,3.330075455100067e-07,5.443583335178558e-07,4.963343534112029e-07,4.0399374462084835e-07,3.443227231311075e-07,2.5425699323797925e-07,1.703321466571302e-07,1.0857294156006703e-07,5.444699986564329e-07,5.443063463562678e-07,4.893618082035443e-07,4.190160263776357e-07,5.053792066477097e-07,9500.0,6.0
4.7231105769792174e-07,4.982409009950712e-07,4.055108877458156e-07,2.7885382710062423e-07,5.349087567146961e-07,4.879086452668131e-07,4.2088883160886835e-07,3.538357734735362e-07,5.406601657700444e-07,4.885254997320273e-07,4.184291779898295e-07,3.614580848101746e-07,3.319117722159273e-07,2.623546568219479e-07,3.3452083855624635e-07,5.372493317463601e-07,4.946152461272699e-07,4.0616343791476557e-07,3.460386643515191e-07,2.554250145261022e-07,1.7170621037971347e-07,1.0954800666993641e-07,5.400575766581635e-07,5.349087567146961e-07,4.879086452668131e-07,4.2088883160886835e-07,4.955686685698418e-07,9500.0,6.25
4.689724376015313e-07,4.928365344724344e-07,4.06156072760522e-07,2.8811794275679097e-07,5.255115204503068e-07,4.855171253044821e-07,4.2194878656860833e-07,3.5525385427952157e-07,5.31951364353636e-07,4.861798773849908e-07,4.1955760700248825e-07,3.633317235926459e-07,3.317694333289089e-07,2.740799644317034e-07,3.372332411773678e-07,5.297964646003372e-07,4.919714154442141e-07,4.0758523528310005e-07,3.473299847710799e-07,2.5627014247040355e-07,1.7300063266874621e-07,1.1047529780207929e-07,5.348667109590843e-07,5.255115204503068e-07,4.855171253044821e-07,4.2194878656860833e-07,4.862579294955809e-07,9500.0,6.5
4.652783967231665e-07,4.872915671624538e-07,4.061992585321562e-07,2.975681017729869e-07,5.162202599453456e-07,4.8238466807818e-07,4.2233054778979244e-07,3.5637724249553955e-07,5.232161482143308e-07,4.831050508855803e-07,4.200188037751749e-07,3.6485712092518485e-07,3.316508323473506e-07,2.857183373376098e-07,3.410629739513762e-07,5.221984255912867e-07,4.886516784108526e-07,4.0838939446852557e-07,3.483876858507485e-07,2.56814752959727e-07,1.7419814539405106e-07,1.1135176221733856e-07,5.292392247038986e-07,5.162202599453456e-07,4.8238466807818e-07,4.2233054778979244e-07,4.774903991586253e-07,9500.0,6.75
4.615836173636899e-07,4.81982241658986e-07,4.059473769216332e-07,3.071281927703454e-07,5.073867077794782e-07,4.791329978675572e-07,4.2225041242985675e-07,3.572606085144415e-07,5.148166074315401e-07,4.798936465262233e-07,4.2001308357077244e-07,3.6603009226102164e-07,3.316693402206258e-07,2.971606569434909e-07,3.45814048494972e-07,5.148056773229817e-07,4.851835836416566e-07,4.0871561727531806e-07,3.492648403884834e-07,2.5715781228439286e-07,1.7531095791120033e-07,1.1215499154439891e-07,5.235399451959527e-07,5.073867077794782e-07,4.791329978675572e-07,4.2225041242985675e-07,4.6944909313001977e-07,9500.0,7.0
4.580002330169587e-07,4.769608959489818e-07,4.05550917357623e-07,3.164901176984711e-07,4.990733643958092e-07,4.7582441136567857e-07,4.2196518532430696e-07,3.581100378889334e-07,5.068185184556658e-07,4.7662230611011147e-07,4.198030005217814e-07,3.670838500084751e-07,3.3193563304656747e-07,3.0805247388270916e-07,3.5145708115244205e-07,5.077271490486458e-07,4.816692613851725e-07,4.0884689606503003e-07,3.5011505511413724e-07,2.574046445822927e-07,1.763524432289533e-07,1.1289621081805485e-07,5.179195568692772e-07,4.990733643958092e-07,4.7582441136567857e-07,4.2196518532430696e-07,4.6223850092591575e-07,9500.0,7.25
4.546103661221407e-07,4.723027075618017e-07,4.0508381419721626e-07,3.255222918709471e-07,4.914391380275252e-07,4.725399448278979e-07,4.21591804976385e-07,3.5881420179322646e-07,4.993501595139045e-07,4.7337537108616364e-07,4.194942048100169e-07,3.6789716458090715e-07,3.3237527685578505e-07,3.1830033638104665e-07,3.5732934622258596e-07,5.010335919614866e-07,4.781937466377142e-07,4.0882605170811685e-07,3.508848639622954e-07,2.575763250013515e-07,1.7725235087264008e-07,1.1356570055712444e-07,5.123809212630539e-07,4.914391380275252e-07,4.725399448278979e-07,4.21591804976385e-07,4.55940891701773e-07,9500.0,7.5
4.5145737713436596e-07,4.681028150355071e-07,4.0449300824600446e-07,3.340513225780146e-07,4.847005888866719e-07,4.6925790942313345e-07,4.2101554413572737e-07,3.594162258968652e-07,4.9264735479401e-07,4.7011736602754255e-07,4.1898510767130183e-07,3.685732169242236e-07,3.3281427975734686e-07,3.278053384137035e-07,3.6331247558288537e-07,4.949154283993291e-07,4.747232637224912e-07,4.086241591177809e-07,3.515754014325237e-07,2.575746737680125e-07,1.7807398520496724e-07,1.141302914601424e-07,5.071275562263757e-07,4.847005888866719e-07,4.6925790942313345e-07,4.2101554413572737e-07,4.5061166220295945e-07,9500.0,7.75
4.4846668997750297e-07,4.6428617277889806e-07,4.036684409706445e-07,3.419988120640345e-07,4.786307807726503e-07,4.6600495901652927e-07,4.2020297334949294e-07,3.5978005741186565e-07,4.865340607312952e-07,4.668912600102348e-07,4.182372491573926e-07,3.689524994360526e-07,3.3321677926440703e-07,3.3645589220944675e-07,3.6914170117933256e-07,4.892745553813377e-07,4.7132000056952374e-07,4.081664976019406e-07,3.5206391140614286e-07,2.5749629900858737e-07,1.7884300956549522e-07,1.1458864014471574e-07,5.022105397697061e-07,4.786307807726503e-07,4.6600495901652927e-07,4.2020297334949294e-07,4.4606336074868795e-07,9500.0,8.0
